banglatalk,indic,whisper
1.0,1.0,0.8889
1.0,1.0,0.9677
0.9667,1.0,0.7209
1.0,0.92,0.88
0.9667,0.9149,0.8511
0.9833,0.9024,0.8537
0.9833,1.0,0.875
0.9667,0.9737,0.7708
0.9833,0.9074,0.5741
0.9833,0.88,0.66
0.9833,0.9111,0.7333
0.9667,0.9535,0.6047
0.9667,0.875,0.65
1.0,0.8636,0.7727
0.9833,0.9556,0.7111
1.0,1.0,0.8679
0.9833,0.9091,0.7576
0.9833,0.8,0.68
0.9667,0.8636,0.8182
0.95,0.8261,0.4783
0.9667,0.8095,0.6667
0.9667,0.975,0.95
0.95,0.8788,0.5152
0.9667,1.0,0.7857
0.9833,0.8929,0.7143
0.9833,0.92,0.68
1.0,0.8529,0.5588
0.9833,0.8333,0.4286
0.9667,0.9,0.7
0.9667,0.8125,0.4412
1.0,0.8056,0.5
0.9833,0.9355,0.5161
1.0,0.8519,0.6786
0.95,0.5278,0.4211
0.9667,0.8333,0.5
0.9667,0.8696,0.6304
1.0,0.7667,0.6053
0.9667,0.9412,0.8235
0.9833,0.8864,0.7273
0.95,0.7407,0.5556
0.9667,0.7917,0.4615
0.9667,0.9286,0.6429
0.9667,0.88,0.68
0.95,0.72,0.52
0.9833,0.7667,0.6667
0.9833,0.8788,0.3333
0.95,0.6667,0.35
0.9667,0.5556,0.3704
0.9667,0.7083,0.5
0.9667,0.8085,0.5532
0.9333,0.7353,0.5882
0.9833,0.6333,0.6333
0.9667,0.7838,0.4595
1.0,0.8,0.6087
1.0,0.8723,0.8723
1.0,0.7209,0.5581
0.9833,0.8636,0.5
1.0,0.8846,0.6154
1.0,0.5714,0.4524
0.9833,0.8947,0.6053
0.95,0.8636,0.7045
0.9833,0.8571,0.8571
0.9833,0.8679,0.6415
0.9833,0.7442,0.6596
0.95,0.6944,0.5278
0.9667,0.75,0.5
0.9833,0.7955,0.9318
0.9833,0.78,0.68
0.95,0.9762,0.6905
0.9667,0.7949,0.5128
0.95,0.7857,0.5357
0.9833,0.8621,0.4483
0.9833,0.8205,0.5
0.9833,0.8889,0.7778
0.9833,1.0,0.9
0.9667,0.8378,0.5946
0.9833,0.7027,0.5405
1.0,0.8421,0.3947
0.9667,0.587,0.5435
0.9833,0.8095,0.7143
0.9833,0.7955,0.8182
0.9667,0.9565,0.6522
0.9667,0.8108,0.4865
1.0,0.5652,0.5
0.9833,0.8378,0.6216
0.9833,0.76,0.52
1.0,0.9,0.5667
0.9667,0.6667,0.7778
0.95,0.9118,0.8824
0.9833,0.7442,0.5814
0.9833,0.9615,0.4615
1.0,0.8387,0.4839
0.9667,1.0,0.7895
1.0,0.963,0.7407
0.9833,0.9444,0.6111
0.9833,1.0,0.9211
0.9667,0.75,0.5833
0.9833,0.8889,0.5833
0.9667,0.9286,0.7586
1.0,0.7273,0.7727
1.0,0.75,0.625
0.9667,0.7907,0.6279
0.95,0.9286,0.6429
0.9667,0.9643,0.7143
0.9833,1.0,0.84
0.9833,0.9767,0.907
0.95,0.9643,0.5357
0.9333,1.0,0.8
0.95,0.9565,0.8913
1.0,0.973,0.6216
1.0,1.0,0.8182
0.9667,0.9583,0.4583
0.9667,0.931,0.5517
0.95,0.9688,0.6857
0.9667,0.9091,0.8636
1.0,0.9412,0.8824
0.9667,1.0,0.5556
0.9833,1.0,0.7949
0.9667,1.0,0.5758
1.0,1.0,0.8387
0.9333,0.9762,0.6429
0.9667,0.9778,0.7111
0.9667,0.9677,0.7742
0.9667,1.0,0.913
0.9667,1.0,0.8276
0.9833,1.0,0.85
0.9833,0.9394,0.7273
1.0,0.64,0.36
0.95,0.7027,0.3243
0.95,0.6977,0.4419
1.0,0.6333,0.5333
0.9833,0.8462,0.5
0.9667,0.8065,0.6774
0.9667,0.6136,0.4318
0.9667,0.7308,0.6154
0.9333,0.8571,0.3673
0.9833,0.5652,0.3043
0.9833,0.5862,0.4483
0.9833,0.8788,0.5588
0.95,0.8056,0.75
0.9667,0.8,0.525
0.9833,0.6765,0.3235
1.0,0.7097,0.6129
0.95,0.7941,0.5294
0.9833,0.7188,0.5
0.9833,0.8529,0.2941
0.9333,0.7407,0.3704
0.9833,0.6579,0.4737
0.95,0.7436,0.3846
1.0,0.5161,0.3226
0.9833,0.6757,0.4324
0.9333,0.5455,0.3409
0.9667,0.7,0.475
0.9667,0.6571,0.5714
1.0,0.7812,0.4062
0.95,0.675,0.45
1.0,0.5556,0.4138
0.9833,0.75,0.6364
0.9667,0.6053,0.4474
0.9833,0.8649,0.5405
0.9833,0.9615,0.5769
1.0,0.8485,0.7576
0.9833,0.907,0.7442
1.0,0.9565,0.9231
0.95,1.0,0.8286
1.0,0.8919,0.7568
0.9833,1.0,0.7407
0.9667,0.8974,0.7179
0.95,0.9737,0.7895
0.95,0.875,0.7188
0.9571,1.0,0.9571
0.9833,1.0,0.881
0.9833,1.0,0.9615
0.9833,1.0,0.7818
0.9833,0.9623,0.7736
1.0,0.9286,0.875
1.0,0.913,0.6957
0.95,0.9756,0.7805
0.95,0.9412,0.8235
0.9833,0.9348,0.7174
0.9667,0.975,0.775
0.9667,1.0,0.6296
0.9667,1.0,0.7949
0.9667,0.9091,0.7879
0.95,1.0,0.9259
0.95,1.0,0.7941
0.95,0.9787,0.6383
0.9667,1.0,0.9667
0.95,0.9778,0.8
0.9833,0.9459,0.7297
0.9667,0.8868,0.6415
0.9833,0.9032,0.9677
0.9667,0.9487,0.7179
0.95,1.0,0.766
0.9667,0.9737,0.7895
0.95,0.9688,0.7188
0.9833,0.9074,0.9074
0.9833,0.8919,0.9189
0.9667,0.9268,0.8049
0.9667,0.8966,0.6552
0.9667,1.0,0.7805
0.9412,1.0,0.8382
0.9833,1.0,0.8611
0.9833,0.9464,0.875
0.9833,0.9038,0.5962
1.0,0.9091,0.6591
1.0,0.9167,0.7
0.9531,0.9375,0.7344
0.95,0.8182,0.4318
0.9833,0.9429,0.7
0.9667,0.8571,0.5714
0.95,0.9583,0.75
1.0,0.9302,0.6977
1.0,0.9804,0.7843
0.95,0.9318,0.8636
0.9833,0.9388,0.7755
1.0,0.9804,0.902
0.9833,0.9273,0.9636
1.0,1.0,0.8
0.9535,1.0,0.9186
0.9667,0.8627,0.6471
0.9667,1.0,1.0
0.9833,0.9302,0.7674
1.0,1.0,0.9333
0.9667,0.8837,0.9302
0.9667,0.8519,0.5185
0.95,0.9677,0.7742
1.0,0.9483,0.7759
0.9833,0.9787,0.7447
1.0,1.0,0.88
0.9833,0.913,0.6304
0.9833,1.0,0.7556
0.9667,0.9434,0.717
1.0,0.9833,0.75
0.9833,1.0,0.8
1.0,0.9672,0.7869
0.9833,0.9592,0.898
0.9833,0.9434,0.8113
0.9667,0.9643,0.8929
1.0,1.0,0.7368
0.9833,0.9778,0.6889
0.9833,1.0,0.8286
0.9667,0.9245,0.717
0.95,0.9643,0.8214
1.0,1.0,0.9565
0.9833,0.9216,0.8431
0.9615,0.9487,0.7436
1.0,0.8235,0.7143
0.9667,0.8333,0.6111
0.9833,0.9091,0.6364
0.9667,0.8723,0.617
0.9667,0.9184,0.7143
0.9667,0.9796,0.7143
0.9833,0.9048,0.6667
0.9833,0.9474,0.807
0.95,0.8667,0.7778
0.9667,1.0,0.8529
0.9833,0.9,0.8
0.9459,0.9595,0.7297
0.9833,0.9216,0.7059
0.9667,0.9231,0.8462
0.9833,0.8772,0.614
1.0,0.8431,0.6667
1.0,0.9375,0.875
0.9833,1.0,0.75
0.9667,0.9767,0.9302
1.0,1.0,0.9
1.0,1.0,1.0
0.9833,1.0,1.0
0.9833,1.0,1.0
1.0,1.0,0.9643
0.9833,1.0,0.8947
0.9667,0.9583,0.7917
0.9833,1.0,0.9
0.9833,1.0,0.8182
0.9833,0.9375,0.875
0.9833,1.0,0.75
0.9667,1.0,0.9333
0.9833,0.9706,0.9444
0.9833,0.931,0.8276
0.95,1.0,0.96
1.0,1.0,0.6923
0.9833,0.9583,0.6667
1.0,1.0,0.9091
0.95,0.9375,0.9375
0.9833,1.0,1.0
1.0,1.0,0.6667
0.9667,1.0,0.875
0.9833,0.9737,0.8421
0.95,0.9615,0.9231
0.9836,0.9672,0.8689
0.9667,0.963,0.963
0.9833,0.9565,0.6957
0.9667,1.0,0.9111
0.9833,0.9677,0.871
0.9667,1.0,0.9375
1.0,0.9355,0.5484
0.9833,1.0,0.8571
0.9833,1.0,1.0
1.0,1.0,0.8919
0.95,1.0,0.8889
0.9833,1.0,0.6818
0.9833,1.0,0.8545
